Generation,Best Fitness,Average Fitness
1,23.05592402105168,1.8361264994929678
2,23.05592402105168,3.8760862600177135
3,23.05592402105168,5.437389994009259
4,23.05592402105168,6.766446018160218
5,34.11687324346991,7.567773014000285
6,34.11687324346991,7.935137029376798
7,34.11687324346991,8.007865841723364
8,34.85405179219981,8.606354351471166
9,34.85405179219981,9.053139975365974
10,34.85405179219981,9.149873587108402
11,34.85405179219981,8.821446669704336
12,53.09929580952874,10.081312110560756
13,53.09929580952874,10.237429773983182
14,53.09929580952874,9.888486331832384
15,53.09929580952874,10.002565006732494
16,58.56050893833782,10.775534786271454
17,58.56050893833782,10.96429058226775
18,58.56050893833782,11.503045320309763
19,62.39082237954702,10.998845604237944
20,62.39082237954702,13.110746714813736
21,62.39082237954702,13.230006552843331
22,62.39082237954702,13.803894931025594
23,62.39082237954702,14.34377796520656
24,65.98377654149144,14.953009085730425
25,65.98377654149144,14.220145646494444
26,65.98377654149144,15.547993444251455
27,65.98377654149144,14.55491425498775
28,65.98377654149144,15.228033152550639
29,65.98377654149144,17.82986058060779
30,65.98377654149144,16.260866882916364
31,65.98377654149144,18.449709160866867
32,68.29670272727803,17.195442374228424
33,68.29670272727803,16.387398196588368
34,68.29670272727803,17.190824474458147
35,68.29670272727803,19.190451847956187
36,68.29670272727803,21.73297851071862
37,68.29670272727803,19.042781213399046
38,68.29670272727803,22.03761389266162
39,68.29670272727803,22.010224406848906
40,68.29670272727803,24.781076308978477
41,68.29670272727803,20.688143455851186
42,68.29670272727803,25.918050559712146
43,68.29670272727803,21.908370969497355
44,68.29670272727803,21.095517530374288
45,68.29670272727803,20.20511420678058
46,68.29670272727803,22.274091423288002
47,68.29670272727803,24.69175316515449
48,68.29670272727803,21.624493331107885
49,68.29670272727803,18.477767770421305
50,68.29670272727803,18.370485360256218
51,68.29670272727803,22.32947424225269
52,68.29670272727803,20.359888334602555
53,68.29670272727803,21.220903050442555
54,68.29670272727803,20.838781769468095
55,68.29670272727803,23.89377496555851
56,68.29670272727803,23.695897286864298
57,68.29670272727803,22.561085074979886
58,68.29670272727803,23.11896318139345
59,68.29670272727803,25.513034897617235
60,72.87361683552571,22.94476995824108
61,72.87361683552571,24.83248945947746
62,72.87361683552571,23.525604435356446
63,72.87361683552571,24.11556032741144
64,82.72352235056817,23.29306627754436
65,82.72352235056817,22.666931075385083
66,82.72352235056817,23.602689595096386
67,82.72352235056817,23.946817608040487
68,82.72352235056817,24.750166458901028
69,82.72352235056817,22.211107738652924
70,82.72352235056817,26.241103178585455
71,82.72352235056817,25.21286734957063
72,82.72352235056817,27.234635557267346
73,82.72352235056817,23.12549451927658
74,82.72352235056817,25.928560035713684
75,82.72352235056817,25.198434243064742
76,82.72352235056817,27.840845636344532
77,82.72352235056817,28.399803965407678
78,82.72352235056817,27.79616254699089
79,82.72352235056817,26.982353185719475
80,82.72352235056817,21.669446271378515
81,82.72352235056817,22.78750089758415
82,82.72352235056817,24.8211628059707
83,82.72352235056817,22.81300719941697
84,82.72352235056817,27.06050849412534
85,82.72352235056817,26.806784038015145
86,82.72352235056817,28.12616526427296
87,82.72352235056817,28.109390620279967
88,82.72352235056817,23.92353134153579
89,82.72352235056817,24.0725300276046
90,82.72352235056817,23.72712823628762
91,82.72352235056817,27.163192589294628
92,82.72352235056817,26.968375735203477
93,82.72352235056817,27.16924054361731
94,82.72352235056817,26.237118611542655
95,82.72352235056817,28.150373025459633
96,82.72352235056817,26.378751139614547
97,82.72352235056817,27.479975109887885
98,82.72352235056817,24.909927095846246
99,82.72352235056817,23.932712716682843
100,82.72352235056817,24.41342568913329
101,82.72352235056817,29.252711694768212
102,82.72352235056817,26.525931126589928
103,82.72352235056817,29.11866204626174
104,82.72352235056817,25.3595200014291
105,82.72352235056817,24.87701235030684
106,82.72352235056817,23.341490351344355
107,82.72352235056817,24.54375625863078
108,82.72352235056817,25.689606826557615
109,82.72352235056817,22.3296730229743
110,82.72352235056817,24.199684902597696
111,82.72352235056817,22.29751407712498
112,82.72352235056817,28.005683610968603
113,82.72352235056817,26.07355349716232
114,82.72352235056817,29.226542533376833
115,82.72352235056817,25.289455026154815
116,82.72352235056817,23.17313161939048
117,82.72352235056817,25.51655424184585
118,82.72352235056817,24.437500184440935
119,82.72352235056817,27.8197285347802
120,82.72352235056817,24.787729013085883
121,82.72352235056817,24.54056923404448
122,82.72352235056817,25.332902251650285
123,82.72352235056817,25.924905860038415
124,82.72352235056817,21.097718584702193
125,82.72352235056817,29.565806362789303
126,82.72352235056817,24.270580360803624
127,82.72352235056817,30.300103005629023
128,82.72352235056817,28.451752314993826
129,82.72352235056817,24.611454775516176
130,82.72352235056817,24.003241185621377
131,82.72352235056817,29.743650360091443
132,82.72352235056817,28.402524318196583
133,82.72352235056817,27.249983297103075
134,82.72352235056817,26.19590115445958
135,82.72352235056817,27.250775762241737
136,82.72352235056817,26.69863536221573
137,85.23691501915131,25.406642811945893
138,85.23691501915131,28.912588995219316
139,85.23691501915131,28.404412594757286
140,85.23691501915131,27.965375545613323
141,85.23691501915131,25.970993494572134
142,85.23691501915131,24.30939707093443
143,85.23691501915131,26.58754074452615
144,85.23691501915131,29.85049076990498
145,85.23691501915131,28.17695515167397
146,85.23691501915131,28.365820353877627
147,85.23691501915131,24.54182594281753
148,85.23691501915131,26.226837543793632
149,85.23691501915131,27.329240376174354
150,89.90576426599844,27.8813295162939
